age,sample,meter,d18O,T_le,T_pu,type,min,period,stage,conzone,chizone,country,state,lat,long,source
420,CZ 462,,17.64,32.62,35.3952,Conodont,apatite,Silurian,Pridoli,,,Czech Republic,Pozary,50.07,13.9,Joachimski_2009; Grossman_2022
423.82,W67,,19,26.5,29.656,Conodont,apatite,Silurian,Ludfordian,,,Sweden,Ollsvenne,57.48,18.54,Wenzel_2000; Grossman_2022
423.82,W79,,19.1,26.05,29.234,Conodont,apatite,Silurian,Ludfordian,,,Sweden,Eke 10,57.48,18.54,Wenzel_2000; Grossman_2022
423.82,W68,,19.2,25.6,28.812,Conodont,apatite,Silurian,Ludfordian,,,Sweden,Ollsvenne,57.48,18.54,Wenzel_2000; Grossman_2022
423.82,W80,,19.3,25.15,28.39,Conodont,apatite,Silurian,Ludfordian,,,Sweden,Eke 11,57.48,18.54,Wenzel_2000; Grossman_2022
423.82,W81,,19.4,24.7,27.968,Conodont,apatite,Silurian,Ludfordian,,,Sweden,Eke 12,57.48,18.54,Wenzel_2000; Grossman_2022
423.83,CZ 401,,17.14,34.87,37.5052,Conodont,apatite,Silurian,Ludfordian,,,Czech Republic,Pozary,50.07,13.9,Joachimski_2009; Grossman_2022
424.12,COG47.8,,17.8,31.9,34.72,Conodont,apatite,Silurian,Ludfordian,,,Australia,Broken River Queensland,-21.18,148.51,Trotter_2016; Grossman_2022
424.16,COG45.8,,18.8,27.4,30.5,Conodont,apatite,Silurian,Ludfordian,,,Australia,Broken River Queensland,-21.18,148.51,Trotter_2016; Grossman_2022
424.2,COG45.4,,17.9,31.45,34.298,Conodont,apatite,Silurian,Ludfordian,,,Australia,Broken River Queensland,-21.18,148.51,Trotter_2016; Grossman_2022
424.25,COG44.9,,17.6,32.8,35.564,Conodont,apatite,Silurian,Ludfordian,,,Australia,Broken River Queensland,-21.18,148.51,Trotter_2016; Grossman_2022
424.38,COG44.8,,17.7,32.35,35.142,Conodont,apatite,Silurian,Ludfordian,,,Australia,Broken River Queensland,-21.18,148.51,Trotter_2016; Grossman_2022
424.43,COG44.3,,17,35.5,38.096,Conodont,apatite,Silurian,Ludfordian,,,Australia,Broken River Queensland,-21.18,148.51,Trotter_2016; Grossman_2022
424.47,Pavilosta763.00-.30,,18.1,30.55,33.454,Conodont,apatite,Silurian,Ludfordian,,,Latvia,west Latvia,56.72,21.6,Trotter_2016; Grossman_2022
424.51,COG43.9,,18.3,29.65,32.61,Conodont,apatite,Silurian,Ludfordian,,,Australia,Broken River Queensland,-21.18,148.51,Trotter_2016; Grossman_2022
424.53,COG43.7,,18.2,30.1,33.032,Conodont,apatite,Silurian,Ludfordian,,,Australia,Broken River Queensland,-21.18,148.51,Trotter_2016; Grossman_2022
424.56,GBR-3.15.2,,17.9,31.45,34.298,Conodont,apatite,Silurian,Ludfordian,,,UK,Welsh Borderlands,52.8,-3.2,Trotter_2016; Grossman_2022
424.56,COG41.9,,16.7,36.85,39.362,Conodont,apatite,Silurian,Ludfordian,,,Australia,Broken River Queensland,-21.18,148.51,Trotter_2016; Grossman_2022
424.71,W58,,17.7,32.35,35.142,Conodont,apatite,Silurian,Ludfordian,,,Sweden,Grogarns,57.48,18.54,Wenzel_2000; Grossman_2022
424.71,W59,,17.9,31.45,34.298,Conodont,apatite,Silurian,Ludfordian,,,Sweden,Grogarns,57.48,18.54,Wenzel_2000; Grossman_2022
424.71,W61,,17.9,31.45,34.298,Conodont,apatite,Silurian,Ludfordian,,,Sweden,Grogarns,57.48,18.54,Wenzel_2000; Grossman_2022
424.71,W60,,18,31,33.876,Conodont,apatite,Silurian,Ludfordian,,,Sweden,Grogarns,57.48,18.54,Wenzel_2000; Grossman_2022
424.82,GBR-3.13,,18.3,29.65,32.61,Conodont,apatite,Silurian,Ludfordian,,,UK,Welsh Borderlands,52.8,-3.2,Trotter_2016; Grossman_2022
424.91,GBR-3.12.2,,17.7,32.35,35.142,Conodont,apatite,Silurian,Ludfordian,,,UK,Welsh Borderlands,52.8,-3.2,Trotter_2016; Grossman_2022
425.09,Pavilosta779.00-.30,,18.5,28.75,31.766,Conodont,apatite,Silurian,Ludfordian,,,Latvia,west Latvia,56.72,21.6,Trotter_2016; Grossman_2022
425.09,GBR-3.12.1,,17.1,35.05,37.674,Conodont,apatite,Silurian,Ludfordian,,,UK,Welsh Borderlands,52.8,-3.2,Trotter_2016; Grossman_2022
425.19,Riksu30.30-.45,,18.8,27.4,30.5,Conodont,apatite,Silurian,Ludfordian,,,Estonia,Saaremaa southwest,58.35,22.08,Trotter_2016; Grossman_2022
425.28,GBR-3.7,,18.3,29.65,32.61,Conodont,apatite,Silurian,Ludfordian,,,UK,Welsh Borderlands,52.8,-3.2,Trotter_2016; Grossman_2022
425.57,Pavilosta792.1,,18.9,26.95,30.078,Conodont,apatite,Silurian,Ludfordian,,,Latvia,west Latvia,56.72,21.6,Trotter_2016; Grossman_2022
425.57,Riksu33.50-.65,,18.7,27.85,30.922,Conodont,apatite,Silurian,Ludfordian,,,Estonia,Saaremaa southwest,58.35,22.08,Trotter_2016; Grossman_2022
425.85,GBR-3.4A,,18,31,33.876,Conodont,apatite,Silurian,Ludfordian,,,UK,Welsh Borderlands,52.8,-3.2,Trotter_2016; Grossman_2022
426.04,Riksu39.10-.25,,19.1,26.05,29.234,Conodont,apatite,Silurian,Ludfordian,,,Estonia,Saaremaa southwest,58.35,22.08,Trotter_2016; Grossman_2022
426.24,W53,,18.7,27.85,30.922,Conodont,apatite,Silurian,Ludfordian,,,Sweden,Snoder,57.48,18.54,Wenzel_2000; Grossman_2022
426.51,3ARW-13,,19,26.5,29.656,Conodont,apatite,Silurian,Homerian,,,Canada,Tellego,74.95,-95.2,Trotter_2016; Grossman_2022
426.61,3ARW-37,,19.1,26.05,29.234,Conodont,apatite,Silurian,Homerian,,,Canada,Olleros,74.95,-95.2,Trotter_2016; Grossman_2022
426.83,GBR-3.1,,18.3,29.65,32.61,Conodont,apatite,Silurian,Homerian,,,UK,Welsh Borderlands,52.8,-3.2,Trotter_2016; Grossman_2022
426.83,3ARW-34,,18.7,27.85,30.922,Conodont,apatite,Silurian,Homerian,,,Canada,Olleros,74.95,-95.2,Trotter_2016; Grossman_2022
426.86,Kolka-54362.30-362.61,,19.3,25.15,28.39,Conodont,apatite,Silurian,Homerian,,,Latvia,NW Latvia,57.7,22.53,Trotter_2016; Grossman_2022
427.08,Riksu50.25-.35,,18.7,27.85,30.922,Conodont,apatite,Silurian,Homerian,,,Estonia,Saaremaa southwest,58.35,22.08,Trotter_2016; Grossman_2022
427.2,Riksu54.20-.30,,19,26.5,29.656,Conodont,apatite,Silurian,Homerian,,,Estonia,Saaremaa southwest,58.35,22.08,Trotter_2016; Grossman_2022
427.2,3ARW-12,,19.1,26.05,29.234,Conodont,apatite,Silurian,Homerian,,,Canada,Tellego,74.95,-95.2,Trotter_2016; Grossman_2022
427.36,W49,,18.5,28.75,31.766,Conodont,apatite,Silurian,Homerian,,,Sweden,Loggarve,57.48,18.54,Wenzel_2000; Grossman_2022
427.36,W48,,18.6,28.3,31.344,Brachiopod phosphate,apatite,Silurian,Homerian,,,Sweden,Loggarve,57.48,18.54,Wenzel_2000; Grossman_2022
427.58,3ARW-9,,19.3,25.15,28.39,Conodont,apatite,Silurian,Homerian,,,Canada,Olleros,74.95,-95.2,Trotter_2016; Grossman_2022
428.08,Kolka-54407,,20.5,19.75,23.326,Conodont,apatite,Silurian,Homerian,,,Latvia,NW Latvia,57.7,22.53,Trotter_2016; Grossman_2022
428.34,Riksu62.3,,19.7,23.35,26.702,Conodont,apatite,Silurian,Homerian,,,Estonia,Saaremaa southwest,58.35,22.08,Trotter_2016; Grossman_2022
428.52,Kolka-54412.0-412.4,,19.8,22.9,26.28,Conodont,apatite,Silurian,Homerian,,,Latvia,NW Latvia,57.7,22.53,Trotter_2016; Grossman_2022
428.84,Riksu64.60-.80,,18.9,26.95,30.078,Conodont,apatite,Silurian,Homerian,,,Estonia,Saaremaa southwest,58.35,22.08,Trotter_2016; Grossman_2022
428.96,3ARW-5,,19.1,26.05,29.234,Conodont,apatite,Silurian,Homerian,,,Canada,Tellego,74.95,-95.2,Trotter_2016; Grossman_2022
429.12,W43,,18.9,26.95,30.078,Conodont,apatite,Silurian,Homerian,,,Sweden,Djupvik,57.48,18.54,Wenzel_2000; Grossman_2022
429.22,3ARW-4,,18.7,27.85,30.922,Conodont,apatite,Silurian,Homerian,,,Canada,Tellego,74.95,-95.2,Trotter_2016; Grossman_2022
429.47,3ARW-2,,19.1,26.05,29.234,Conodont,apatite,Silurian,Homerian,,,Canada,Mirador,74.95,-95.2,Trotter_2016; Grossman_2022
429.72,Kolka-54427.4-427.7,,19.7,23.35,26.702,Conodont,apatite,Silurian,Homerian,,,Latvia,NW Latvia,57.7,22.53,Trotter_2016; Grossman_2022
429.72,2ARW-3,,18.5,28.75,31.766,Conodont,apatite,Silurian,Homerian,,,Canada,Tellego,74.95,-95.2,Trotter_2016; Grossman_2022
429.96,C04-91,,19.7,23.35,26.702,Conodont,apatite,Silurian,Homerian,,,Estonia,,58.35,22.08,Lehnert_2010; Grossman_2022
429.97,GBR-2.3,,19.2,25.6,28.812,Conodont,apatite,Silurian,Homerian,,,UK,Welsh Borderlands,52.8,-3.2,Trotter_2016; Grossman_2022
429.97,2ARW-1,,18.4,29.2,32.188,Conodont,apatite,Silurian,Homerian,,,Canada,Tellego,74.95,-95.2,Trotter_2016; Grossman_2022
430.03,Kolka-54436.7-437.0,,19.4,24.7,27.968,Conodont,apatite,Silurian,Homerian,,,Latvia,NW Latvia,57.7,22.53,Trotter_2016; Grossman_2022
430.29,C04-87,,19.6,23.8,27.124,Conodont,apatite,Silurian,Homerian,,,Estonia,,58.35,22.08,Lehnert_2010; Grossman_2022
430.41,Kolka-54448.0-448.3,,19.4,24.7,27.968,Conodont,apatite,Silurian,Homerian,,,Latvia,NW Latvia,57.7,22.53,Trotter_2016; Grossman_2022
430.47,Riksu75.80-.90,,19.1,26.05,29.234,Conodont,apatite,Silurian,Homerian,,,Estonia,Saaremaa southwest,58.35,22.08,Trotter_2016; Grossman_2022
430.54,C04-83,,19.4,24.7,27.968,Conodont,apatite,Silurian,Homerian,,,Estonia,,58.35,22.08,Lehnert_2010; Grossman_2022
430.6,V. Nestor,,19.3,25.15,28.39,Conodont,apatite,Silurian,Homerian,,,Estonia,,58.35,22.08,Lehnert_2010; Grossman_2022
430.62,M-997 OM4-323,,18.7,27.85,30.922,Conodont,apatite,Silurian,Homerian,,,Estonia,,58.35,22.08,Lehnert_2010; Grossman_2022
430.64,V. Nestor,,19,26.5,29.656,Conodont,apatite,Silurian,Homerian,,,Estonia,,58.35,22.08,Lehnert_2010; Grossman_2022
430.68,ARW-13,,18.6,28.3,31.344,Conodont,apatite,Silurian,Homerian,,,Canada,Olleros,74.95,-95.2,Trotter_2016; Grossman_2022
430.76,Riksu84.70-.80,,19.1,26.05,29.234,Conodont,apatite,Silurian,Homerian,,,Estonia,Saaremaa southwest,58.35,22.08,Trotter_2016; Grossman_2022
430.84,ARW-10,,18.9,26.95,30.078,Conodont,apatite,Silurian,Homerian,,,Canada,Tellego,74.95,-95.2,Trotter_2016; Grossman_2022
430.91,W36,,18.4,29.2,32.188,Conodont,apatite,Silurian,Homerian,,,Sweden,Tjeldersholm,57.48,18.54,Wenzel_2000; Grossman_2022
430.91,W35,,18.5,28.75,31.766,Conodont,apatite,Silurian,Homerian,,,Sweden,Tjeldersholm,57.48,18.54,Wenzel_2000; Grossman_2022
430.91,W22,,18.6,28.3,31.344,Conodont,apatite,Silurian,Homerian,,,Sweden,Slitebrottet,57.48,18.54,Wenzel_2000; Grossman_2022
430.91,W23,,18.7,27.85,30.922,Conodont,apatite,Silurian,Homerian,,,Sweden,Slitebrottet,57.48,18.54,Wenzel_2000; Grossman_2022
430.91,W32,,18.7,27.85,30.922,Conodont,apatite,Silurian,Homerian,,,Sweden,Slitebrottet,57.48,18.54,Wenzel_2000; Grossman_2022
430.91,W24,,18.9,26.95,30.078,Conodont,apatite,Silurian,Homerian,,,Sweden,Slitebrottet,57.48,18.54,Wenzel_2000; Grossman_2022
430.91,W25,,18.9,26.95,30.078,Conodont,apatite,Silurian,Homerian,,,Sweden,Slitebrottet,57.48,18.54,Wenzel_2000; Grossman_2022
430.91,W26,,18,31,33.876,Conodont,apatite,Silurian,Homerian,,,Sweden,Slitebrottet,57.48,18.54,Wenzel_2000; Grossman_2022
430.92,Riksu89.25-.40,,19.8,22.9,26.28,Conodont,apatite,Silurian,Homerian,,,Estonia,Saaremaa southwest,58.35,22.08,Trotter_2016; Grossman_2022
431,CP55,,19.1,26.05,29.234,Conodont,apatite,Silurian,Homerian,,,Canada,Entrajo,74.95,-95.2,Trotter_2016; Grossman_2022
431.08,Riksu103.60-.75,,19.7,23.35,26.702,Conodont,apatite,Silurian,Homerian,,,Estonia,Saaremaa southwest,58.35,22.08,Trotter_2016; Grossman_2022
431.14,V. Nestor,,19.3,25.15,28.39,Conodont,apatite,Silurian,Homerian,,,Estonia,Gotland,58.35,22.08,Lehnert_2010; Grossman_2022
431.16,Riksu107.10-.30,,19.2,25.6,28.812,Conodont,apatite,Silurian,Homerian,,,Estonia,Saaremaa southwest,58.35,22.08,Trotter_2016; Grossman_2022
431.16,ARW-6,,18.8,27.4,30.5,Conodont,apatite,Silurian,Homerian,,,Canada,Cornwallis Island,74.95,-95.2,Trotter_2016; Grossman_2022
431.31,V. Nestor,,19.5,24.25,27.546,Conodont,apatite,Silurian,Homerian,,,Estonia,,58.35,22.08,Lehnert_2010; Grossman_2022
431.32,C04-73,,19.8,22.9,26.28,Conodont,apatite,Silurian,Homerian,,,Estonia,,58.35,22.08,Lehnert_2010; Grossman_2022
431.39,Riksu115.35-.45,,19.5,24.25,27.546,Conodont,apatite,Silurian,Homerian,,,Estonia,Saaremaa southwest,58.35,22.08,Trotter_2016; Grossman_2022
431.39,CP53,,18.8,27.4,30.5,Conodont,apatite,Silurian,Homerian,,,Canada,Cornwallis Island,74.95,-95.2,Trotter_2016; Grossman_2022
431.47,Riksu120.00-.20,,20.3,20.65,24.17,Conodont,apatite,Silurian,Homerian,,,Estonia,Saaremaa southwest,58.35,22.08,Trotter_2016; Grossman_2022
431.49,V. Nestor C04-70 C04-71,,19.6,23.8,27.124,Conodont,apatite,Silurian,Homerian,,,Estonia,,58.35,22.08,Lehnert_2010; Grossman_2022
431.54,C01-121,,19.7,23.35,26.702,Conodont,apatite,Silurian,Homerian,,,Estonia,,58.35,22.08,Lehnert_2010; Grossman_2022
431.63,Riksu126.80-.90,,20,22,25.436,Conodont,apatite,Silurian,Homerian,,,Estonia,Saaremaa southwest,58.35,22.08,Trotter_2016; Grossman_2022
431.65,C01-118,,19.4,24.7,27.968,Conodont,apatite,Silurian,Homerian,,,Estonia,,58.35,22.08,Lehnert_2010; Grossman_2022
431.7,V. Nestor,,19.6,23.8,27.124,Conodont,apatite,Silurian,Homerian,,,Estonia,,58.35,22.08,Lehnert_2010; Grossman_2022
431.71,Riksu132.35-.50,,20.2,21.1,24.592,Conodont,apatite,Silurian,Homerian,,,Estonia,Saaremaa southwest,58.35,22.08,Trotter_2016; Grossman_2022
431.79,Riksu136.60-.80,,20,22,25.436,Conodont,apatite,Silurian,Homerian,,,Estonia,Saaremaa southwest,58.35,22.08,Trotter_2016; Grossman_2022
431.87,Riksu141.50-.70,,20.1,21.55,25.014,Conodont,apatite,Silurian,Homerian,,,Estonia,Saaremaa southwest,58.35,22.08,Trotter_2016; Grossman_2022
431.95,Riksu146.40-.50,,20.2,21.1,24.592,Conodont,apatite,Silurian,Homerian,,,Estonia,Saaremaa southwest,58.35,22.08,Trotter_2016; Grossman_2022
431.95,CP49A,,20,22,25.436,Conodont,apatite,Silurian,Homerian,,,Canada,Cornwallis Island,74.95,-95.2,Trotter_2016; Grossman_2022
431.98,C01-108 V. Nestor C01-109,,19.8,22.9,26.28,Conodont,apatite,Silurian,Homerian,,,Estonia,,58.35,22.08,Lehnert_2010; Grossman_2022
432.01,C01-107 V. Nestor,,19.6,23.8,27.124,Conodont,apatite,Silurian,Homerian,,,Estonia,,58.35,22.08,Lehnert_2010; Grossman_2022
432.06,W16,,18.6,28.3,31.344,Conodont,apatite,Silurian,Homerian,,,Sweden,Hoegklint,57.48,18.54,Wenzel_2000; Grossman_2022
432.06,CP 56,,18.1,30.55,33.454,Conodont,apatite,Silurian,Homerian,,,Canada,Cornwallis Island,74.95,-95.2,Trotter_2008; Grossman_2022
432.08,C01-104 V. Nestor C01-105,,19.7,23.35,26.702,Conodont,apatite,Silurian,Homerian,,,Estonia,,58.35,22.08,Lehnert_2010; Grossman_2022
