age,sample,meter,d18O,d18O_water_defliese,T_le_defliese,T_pu_defliese,d18O_water_1,T_le_d18O_water_1,T_pu_d18O_water_1,d18O_water_1_5,T_le_d18O_water_1_5,T_pu_d18O_water_1_5,d18O_water_2,T_le_d18O_water_2,T_pu_d18O_water_2,d18O_water_thiag_h,T_le_d18O_water_thiag_h,T_pu_d18O_water_thiag_h,d18O_water_thiag_m,T_le_d18O_water_thiag_m,T_pu_d18O_water_thiag_m,d18O_water_thiag_l,T_le_d18O_water_thiag_l,T_pu_d18O_water_thiag_l,type,min,period,stage,regionalstage,conzone,chizone,country,state,lat,long,source,Source
451.5,75-HA 70.1,28.5,18.2,-2.096707682,26.06481543,29.24789358,-1,31,33.876,-1.5,28.75,31.766,-2,26.5,29.656,-4,17.5,21.216,-4.85,13.675,17.629,-5.7,9.85,14.042,conodont,apatite,Ordovician,Katian,,Aphelognathus grandis,,USA,Kentucky,38.59285,-85.176254,Edwards_2022,Edwards_2022
451.5,75-HA 70.2,28.5,18.7,-2.096707682,23.81481543,27.13789358,-1,28.75,31.766,-1.5,26.5,29.656,-2,24.25,27.546,-4,15.25,19.106,-4.85,11.425,15.519,-5.7,7.6,11.932,conodont,apatite,Ordovician,Katian,,Aphelognathus grandis,,USA,Kentucky,38.59285,-85.176254,Edwards_2022,Edwards_2022
451.5,75-HA 70.3,28.5,19.1,-2.096707682,22.01481543,25.44989358,-1,26.95,30.078,-1.5,24.7,27.968,-2,22.45,25.858,-4,13.45,17.418,-4.85,9.625,13.831,-5.7,5.8,10.244,conodont,apatite,Ordovician,Katian,,Aphelognathus grandis,,USA,Kentucky,38.59285,-85.176254,Edwards_2022,Edwards_2022
451.5,75-HA 70.4,28.5,18.9,-2.096707682,22.91481543,26.29389358,-1,27.85,30.922,-1.5,25.6,28.812,-2,23.35,26.702,-4,14.35,18.262,-4.85,10.525,14.675,-5.7,6.7,11.088,conodont,apatite,Ordovician,Katian,,Aphelognathus grandis,,USA,Kentucky,38.59285,-85.176254,Edwards_2022,Edwards_2022
451.5,75-HA 70.5,28.5,18.7,-2.096707682,23.81481543,27.13789358,-1,28.75,31.766,-1.5,26.5,29.656,-2,24.25,27.546,-4,15.25,19.106,-4.85,11.425,15.519,-5.7,7.6,11.932,conodont,apatite,Ordovician,Katian,,Aphelognathus grandis,,USA,Kentucky,38.59285,-85.176254,Edwards_2022,Edwards_2022
448.5,63AB-128.1,124.2,19.4,-2.087117995,20.70796902,24.22436206,-1,25.6,28.812,-1.5,23.35,26.702,-2,21.1,24.592,-4,12.1,16.152,-4.85,8.275,12.565,-5.7,4.45,8.978,conodont,apatite,Ordovician,Katian,,Aphelognathus divergens,,USA,Indiana,38.838889,-85.372778,Edwards_2022,Edwards_2022
448.5,63AB-128.2,124.2,18.9,-2.087117995,22.95796902,26.33436206,-1,27.85,30.922,-1.5,25.6,28.812,-2,23.35,26.702,-4,14.35,18.262,-4.85,10.525,14.675,-5.7,6.7,11.088,conodont,apatite,Ordovician,Katian,,Aphelognathus divergens,,USA,Indiana,38.838889,-85.372778,Edwards_2022,Edwards_2022
448.5,63AB-128.3,124.2,19.3,-2.087117995,21.15796902,24.64636206,-1,26.05,29.234,-1.5,23.8,27.124,-2,21.55,25.014,-4,12.55,16.574,-4.85,8.725,12.987,-5.7,4.9,9.4,conodont,apatite,Ordovician,Katian,,Aphelognathus divergens,,USA,Indiana,38.838889,-85.372778,Edwards_2022,Edwards_2022
448.5,63AB-128.4,124.2,17.6,-2.087117995,28.80796902,31.82036206,-1,33.7,36.408,-1.5,31.45,34.298,-2,29.2,32.188,-4,20.2,23.748,-4.85,16.375,20.161,-5.7,12.55,16.574,conodont,apatite,Ordovician,Katian,,Aphelognathus divergens,,USA,Indiana,38.838889,-85.372778,Edwards_2022,Edwards_2022
457.59,5-26-82T.1,80.19,19.5,-2.116174746,20.12721364,23.67974257,-1,25.15,28.39,-1.5,22.9,26.28,-2,20.65,24.17,-4,11.65,15.73,-4.85,7.825,12.143,-5.7,4,8.556,conodont,apatite,Ordovician,Sandbian,,,,USA,Nevada,39.096063,-116.264271,Edwards_2022,Edwards_2022
457.59,5-26-82T.2,80.19,18.2,-2.116174746,25.97721364,29.16574257,-1,31,33.876,-1.5,28.75,31.766,-2,26.5,29.656,-4,17.5,21.216,-4.85,13.675,17.629,-5.7,9.85,14.042,conodont,apatite,Ordovician,Sandbian,,,,USA,Nevada,39.096063,-116.264271,Edwards_2022,Edwards_2022
457.59,5-26-82T.3,80.19,18.3,-2.116174746,25.52721364,28.74374257,-1,30.55,33.454,-1.5,28.3,31.344,-2,26.05,29.234,-4,17.05,20.794,-4.85,13.225,17.207,-5.7,9.4,13.62,conodont,apatite,Ordovician,Sandbian,,,,USA,Nevada,39.096063,-116.264271,Edwards_2022,Edwards_2022
458.37,5-26-82J.1,69.82,15.8,-2.118668064,36.76599371,39.28322077,-1,41.8,44.004,-1.5,39.55,41.894,-2,37.3,39.784,-4,28.3,31.344,-4.85,24.475,27.757,-5.7,20.65,24.17,conodont,apatite,Ordovician,Sandbian,,,,USA,Nevada,39.096063,-116.264271,Edwards_2022,Edwards_2022
458.37,5-26-82J.2,69.82,16.8,-2.118668064,32.26599371,35.06322077,-1,37.3,39.784,-1.5,35.05,37.674,-2,32.8,35.564,-4,23.8,27.124,-4.85,19.975,23.537,-5.7,16.15,19.95,conodont,apatite,Ordovician,Sandbian,,,,USA,Nevada,39.096063,-116.264271,Edwards_2022,Edwards_2022
459.21,5-26-82D.1,60.07,17.6,-2.121353177,28.6539107,31.67588959,-1,33.7,36.408,-1.5,31.45,34.298,-2,29.2,32.188,-4,20.2,23.748,-4.85,16.375,20.161,-5.7,12.55,16.574,conodont,apatite,Ordovician,Sandbian,,,,USA,Nevada,39.096063,-116.264271,Edwards_2022,Edwards_2022
459.21,5-26-82D.2,60.07,17.2,-2.121353177,30.4539107,33.36388959,-1,35.5,38.096,-1.5,33.25,35.986,-2,31,33.876,-4,22,25.436,-4.85,18.175,21.849,-5.7,14.35,18.262,conodont,apatite,Ordovician,Sandbian,,,,USA,Nevada,39.096063,-116.264271,Edwards_2022,Edwards_2022
459.21,5-26-82D.3,60.07,18.1,-2.121353177,26.4039107,29.56588959,-1,31.45,34.298,-1.5,29.2,32.188,-2,26.95,30.078,-4,17.95,21.638,-4.85,14.125,18.051,-5.7,10.3,14.464,conodont,apatite,Ordovician,Sandbian,,,,USA,Nevada,39.096063,-116.264271,Edwards_2022,Edwards_2022
459.21,5-26-82D.4,60.07,18.8,-2.121353177,23.2539107,26.61188959,-1,28.3,31.344,-1.5,26.05,29.234,-2,23.8,27.124,-4,14.8,18.684,-4.85,10.975,15.097,-5.7,7.15,11.51,conodont,apatite,Ordovician,Sandbian,,,,USA,Nevada,39.096063,-116.264271,Edwards_2022,Edwards_2022
459.21,5-26-82D.5,60.07,18.7,-2.121353177,23.7039107,27.03388959,-1,28.75,31.766,-1.5,26.5,29.656,-2,24.25,27.546,-4,15.25,19.106,-4.85,11.425,15.519,-5.7,7.6,11.932,conodont,apatite,Ordovician,Sandbian,,,,USA,Nevada,39.096063,-116.264271,Edwards_2022,Edwards_2022
460.76,5-25-82AK.1,42.08,15.8,-2.126307848,36.73161468,39.25098088,-1,41.8,44.004,-1.5,39.55,41.894,-2,37.3,39.784,-4,28.3,31.344,-4.85,24.475,27.757,-5.7,20.65,24.17,conodont,apatite,Ordovician,Sandbian,,,,USA,Nevada,39.096063,-116.264271,Edwards_2022,Edwards_2022
460.76,5-25-82AK.2,42.08,16.2,-2.126307848,34.93161468,37.56298088,-1,40,42.316,-1.5,37.75,40.206,-2,35.5,38.096,-4,26.5,29.656,-4.85,22.675,26.069,-5.7,18.85,22.482,conodont,apatite,Ordovician,Sandbian,,,,USA,Nevada,39.096063,-116.264271,Edwards_2022,Edwards_2022
460.76,5-25-82AK.3,42.08,16.6,-2.126307848,33.13161468,35.87498088,-1,38.2,40.628,-1.5,35.95,38.518,-2,33.7,36.408,-4,24.7,27.968,-4.85,20.875,24.381,-5.7,17.05,20.794,conodont,apatite,Ordovician,Sandbian,,,,USA,Nevada,39.096063,-116.264271,Edwards_2022,Edwards_2022
460.76,5-25-82AK.4,42.08,16.6,-2.126307848,33.13161468,35.87498088,-1,38.2,40.628,-1.5,35.95,38.518,-2,33.7,36.408,-4,24.7,27.968,-4.85,20.875,24.381,-5.7,17.05,20.794,conodont,apatite,Ordovician,Sandbian,,,,USA,Nevada,39.096063,-116.264271,Edwards_2022,Edwards_2022
463.1,5-25-82J.1,6.4,16.5,-2.133787804,33.54795488,36.26541547,-1,38.65,41.05,-1.5,36.4,38.94,-2,34.15,36.83,-4,25.15,28.39,-4.85,21.325,24.803,-5.7,17.5,21.216,conodont,apatite,Ordovician,Darriwilian,,,,USA,Nevada,39.096063,-116.264271,Edwards_2022,Edwards_2022
463.1,5-25-82J.2,6.4,15.5,-2.133787804,38.04795488,40.48541547,-1,43.15,45.27,-1.5,40.9,43.16,-2,38.65,41.05,-4,29.65,32.61,-4.85,25.825,29.023,-5.7,22,25.436,conodont,apatite,Ordovician,Darriwilian,,,,USA,Nevada,39.096063,-116.264271,Edwards_2022,Edwards_2022
463.1,5-25-82J.3,6.4,16.2,-2.133787804,34.89795488,37.53141547,-1,40,42.316,-1.5,37.75,40.206,-2,35.5,38.096,-4,26.5,29.656,-4.85,22.675,26.069,-5.7,18.85,22.482,conodont,apatite,Ordovician,Darriwilian,,,,USA,Nevada,39.096063,-116.264271,Edwards_2022,Edwards_2022
463.77,5-25-82A.1,0,15.4,-2.135929501,38.48831725,40.89837751,-1,43.6,45.692,-1.5,41.35,43.582,-2,39.1,41.472,-4,30.1,33.032,-4.85,26.275,29.445,-5.7,22.45,25.858,conodont,apatite,Ordovician,Darriwilian,,,,USA,Nevada,39.096063,-116.264271,Edwards_2022,Edwards_2022
463.77,5-25-82A.2,0,17.3,-2.135929501,29.93831725,32.88037751,-1,35.05,37.674,-1.5,32.8,35.564,-2,30.55,33.454,-4,21.55,25.014,-4.85,17.725,21.427,-5.7,13.9,17.84,conodont,apatite,Ordovician,Darriwilian,,,,USA,Nevada,39.096063,-116.264271,Edwards_2022,Edwards_2022
463.77,5-25-82A.3,0,15.3,-2.135929501,38.93831725,41.32037751,-1,44.05,46.114,-1.5,41.8,44.004,-2,39.55,41.894,-4,30.55,33.454,-4.85,26.725,29.867,-5.7,22.9,26.28,conodont,apatite,Ordovician,Darriwilian,,,,USA,Nevada,39.096063,-116.264271,Edwards_2022,Edwards_2022
463.76,SC-500.1,259.45,17.2,-2.135897535,30.38846109,33.3025124,-1,35.5,38.096,-1.5,33.25,35.986,-2,31,33.876,-4,22,25.436,-4.85,18.175,21.849,-5.7,14.35,18.262,conodont,apatite,Ordovician,Darriwilian,,,,USA,Oklahoma,34.362201,-97.143384,Edwards_2022,Edwards_2022
463.76,SC-500.2,259.45,16.9,-2.135897535,31.73846109,34.5685124,-1,36.85,39.362,-1.5,34.6,37.252,-2,32.35,35.142,-4,23.35,26.702,-4.85,19.525,23.115,-5.7,15.7,19.528,conodont,apatite,Ordovician,Darriwilian,,,,USA,Oklahoma,34.362201,-97.143384,Edwards_2022,Edwards_2022
464.28,SC-410,232.01,17.3,-2.137559747,29.93098114,32.87349787,-1,35.05,37.674,-1.5,32.8,35.564,-2,30.55,33.454,-4,21.55,25.014,-4.85,17.725,21.427,-5.7,13.9,17.84,conodont,apatite,Ordovician,Darriwilian,,,,USA,Oklahoma,34.362201,-97.143384,Edwards_2022,Edwards_2022
464.97,SC-290,195.43,16.5,-2.139765375,33.52105581,36.24019012,-1,38.65,41.05,-1.5,36.4,38.94,-2,34.15,36.83,-4,25.15,28.39,-4.85,21.325,24.803,-5.7,17.5,21.216,conodont,apatite,Ordovician,Darriwilian,,,,USA,Oklahoma,34.362201,-97.143384,Edwards_2022,Edwards_2022
465.66,SC-170.1,158.84,18,-2.141971003,26.76113049,29.90088237,-1,31.9,34.72,-1.5,29.65,32.61,-2,27.4,30.5,-4,18.4,22.06,-4.85,14.575,18.473,-5.7,10.75,14.886,conodont,apatite,Ordovician,Darriwilian,,,,USA,Oklahoma,34.362201,-97.143384,Edwards_2022,Edwards_2022
465.66,SC-170.2,158.84,17.4,-2.141971003,29.46113049,32.43288237,-1,34.6,37.252,-1.5,32.35,35.142,-2,30.1,33.032,-4,21.1,24.592,-4.85,17.275,21.005,-5.7,13.45,17.418,conodont,apatite,Ordovician,Darriwilian,,,,USA,Oklahoma,34.362201,-97.143384,Edwards_2022,Edwards_2022
465.66,SC-170.3,158.84,18.1,-2.141971003,26.31113049,29.47888237,-1,31.45,34.298,-1.5,29.2,32.188,-2,26.95,30.078,-4,17.95,21.638,-4.85,14.125,18.051,-5.7,10.3,14.464,conodont,apatite,Ordovician,Darriwilian,,,,USA,Oklahoma,34.362201,-97.143384,Edwards_2022,Edwards_2022
465.66,SC-170.4,158.84,18,-2.141971003,26.76113049,29.90088237,-1,31.9,34.72,-1.5,29.65,32.61,-2,27.4,30.5,-4,18.4,22.06,-4.85,14.575,18.473,-5.7,10.75,14.886,conodont,apatite,Ordovician,Darriwilian,,,,USA,Oklahoma,34.362201,-97.143384,Edwards_2022,Edwards_2022
466.29,SC-60.1,125.3,16.9,-2.143984838,31.70206823,34.53438399,-1,36.85,39.362,-1.5,34.6,37.252,-2,32.35,35.142,-4,23.35,26.702,-4.85,19.525,23.115,-5.7,15.7,19.528,conodont,apatite,Ordovician,Darriwilian,,,,USA,Oklahoma,34.362201,-97.143384,Edwards_2022,Edwards_2022
466.29,SC-60.2,125.3,17.2,-2.143984838,30.35206823,33.26838399,-1,35.5,38.096,-1.5,33.25,35.986,-2,31,33.876,-4,22,25.436,-4.85,18.175,21.849,-5.7,14.35,18.262,conodont,apatite,Ordovician,Darriwilian,,,,USA,Oklahoma,34.362201,-97.143384,Edwards_2022,Edwards_2022
466.29,SC-60.3,125.3,16.3,-2.143984838,34.40206823,37.06638399,-1,39.55,41.894,-1.5,37.3,39.784,-2,35.05,37.674,-4,26.05,29.234,-4.85,22.225,25.647,-5.7,18.4,22.06,conodont,apatite,Ordovician,Darriwilian,,,,USA,Oklahoma,34.362201,-97.143384,Edwards_2022,Edwards_2022
467.85,SB-239.1,68.9,15.9,-2.148971475,36.17962836,38.73334038,-1,41.35,43.582,-1.5,39.1,41.472,-2,36.85,39.362,-4,27.85,30.922,-4.85,24.025,27.335,-5.7,20.2,23.748,conodont,apatite,Ordovician,Darriwilian,,,,USA,Oklahoma,34.362201,-97.143384,Edwards_2022,Edwards_2022
467.85,SB-239.2,68.9,16.8,-2.148971475,32.12962836,34.93534038,-1,37.3,39.784,-1.5,35.05,37.674,-2,32.8,35.564,-4,23.8,27.124,-4.85,19.975,23.537,-5.7,16.15,19.95,conodont,apatite,Ordovician,Darriwilian,,,,USA,Oklahoma,34.362201,-97.143384,Edwards_2022,Edwards_2022
468.46,SB-127,34.76,16.3,-2.150921378,34.3708538,37.03711179,-1,39.55,41.894,-1.5,37.3,39.784,-2,35.05,37.674,-4,26.05,29.234,-4.85,22.225,25.647,-5.7,18.4,22.06,conodont,apatite,Ordovician,Darriwilian,,,,USA,Oklahoma,34.362201,-97.143384,Edwards_2022,Edwards_2022
469.07,SB-13.1,0,16.6,-2.152871281,33.01207924,35.7628832,-1,38.2,40.628,-1.5,35.95,38.518,-2,33.7,36.408,-4,24.7,27.968,-4.85,20.875,24.381,-5.7,17.05,20.794,conodont,apatite,Ordovician,Dapingian,,,,USA,Oklahoma,34.362201,-97.143384,Edwards_2022,Edwards_2022
469.07,SB-13.2,0,16.3,-2.152871281,34.36207924,37.0288832,-1,39.55,41.894,-1.5,37.3,39.784,-2,35.05,37.674,-4,26.05,29.234,-4.85,22.225,25.647,-5.7,18.4,22.06,conodont,apatite,Ordovician,Dapingian,,,,USA,Oklahoma,34.362201,-97.143384,Edwards_2022,Edwards_2022
469.07,SB-13.3,0,17.2,-2.152871281,30.31207924,33.2308832,-1,35.5,38.096,-1.5,33.25,35.986,-2,31,33.876,-4,22,25.436,-4.85,18.175,21.849,-5.7,14.35,18.262,conodont,apatite,Ordovician,Dapingian,,,,USA,Oklahoma,34.362201,-97.143384,Edwards_2022,Edwards_2022
469.07,SB-13.4,0,17.1,-2.152871281,30.76207924,33.6528832,-1,35.95,38.518,-1.5,33.7,36.408,-2,31.45,34.298,-4,22.45,25.858,-4.85,18.625,22.271,-5.7,14.8,18.684,conodont,apatite,Ordovician,Dapingian,,,,USA,Oklahoma,34.362201,-97.143384,Edwards_2022,Edwards_2022
463.32,SP-366.1,1220.38,15.8,-2.134491048,36.69479029,39.21644778,-1,41.8,44.004,-1.5,39.55,41.894,-2,37.3,39.784,-4,28.3,31.344,-4.85,24.475,27.757,-5.7,20.65,24.17,conodont,apatite,Ordovician,Darriwilian,,,,USA,Nevada,38.527619,-114.94802,Edwards_2022,Edwards_2022
463.32,SP-366.2,1220.38,15.8,-2.134491048,36.69479029,39.21644778,-1,41.8,44.004,-1.5,39.55,41.894,-2,37.3,39.784,-4,28.3,31.344,-4.85,24.475,27.757,-5.7,20.65,24.17,conodont,apatite,Ordovician,Darriwilian,,,,USA,Nevada,38.527619,-114.94802,Edwards_2022,Edwards_2022
464.62,SP-276.1,1133.38,16,-2.138646579,35.7760904,38.35491144,-1,40.9,43.16,-1.5,38.65,41.05,-2,36.4,38.94,-4,27.4,30.5,-4.85,23.575,26.913,-5.7,19.75,23.326,conodont,apatite,Ordovician,Darriwilian,,,,USA,Nevada,38.527619,-114.94802,Edwards_2022,Edwards_2022
464.62,SP-276.2,1133.38,16,-2.138646579,35.7760904,38.35491144,-1,40.9,43.16,-1.5,38.65,41.05,-2,36.4,38.94,-4,27.4,30.5,-4.85,23.575,26.913,-5.7,19.75,23.326,conodont,apatite,Ordovician,Darriwilian,,,,USA,Nevada,38.527619,-114.94802,Edwards_2022,Edwards_2022
464.62,SP-276.3,1133.38,15.5,-2.138646579,38.0260904,40.46491144,-1,43.15,45.27,-1.5,40.9,43.16,-2,38.65,41.05,-4,29.65,32.61,-4.85,25.825,29.023,-5.7,22,25.436,conodont,apatite,Ordovician,Darriwilian,,,,USA,Nevada,38.527619,-114.94802,Edwards_2022,Edwards_2022
465.03,SP-248,1105.88,16.7,-2.139957169,32.62019274,35.39538075,-1,37.75,40.206,-1.5,35.5,38.096,-2,33.25,35.986,-4,24.25,27.546,-4.85,20.425,23.959,-5.7,16.6,20.372,conodont,apatite,Ordovician,Darriwilian,,,,USA,Nevada,38.527619,-114.94802,Edwards_2022,Edwards_2022
465.4,SP-224,1081.38,17.7,-2.141139897,28.11487046,31.17038963,-1,33.25,35.986,-1.5,31,33.876,-2,28.75,31.766,-4,19.75,23.326,-4.85,15.925,19.739,-5.7,12.1,16.152,conodont,apatite,Ordovician,Darriwilian,,,,USA,Nevada,38.527619,-114.94802,Edwards_2022,Edwards_2022
465.81,SP-200,1052.38,17.5,-2.142450488,29.00897281,32.00885894,-1,34.15,36.83,-1.5,31.9,34.72,-2,29.65,32.61,-4,20.65,24.17,-4.85,16.825,20.583,-5.7,13,16.996,conodont,apatite,Ordovician,Darriwilian,,,,USA,Nevada,38.527619,-114.94802,Edwards_2022,Edwards_2022
469.71,SP-2674.1,753.77,16.2,-2.15491708,34.80287314,37.44224992,-1,40,42.316,-1.5,37.75,40.206,-2,35.5,38.096,-4,26.5,29.656,-4.85,22.675,26.069,-5.7,18.85,22.482,conodont,apatite,Ordovician,Dapingian,,,,USA,Nevada,38.527619,-114.94802,Edwards_2022,Edwards_2022
469.71,SP-2674.2,753.77,14.5,-2.15491708,42.45287314,44.61624992,-1,47.65,49.49,-1.5,45.4,47.38,-2,43.15,45.27,-4,34.15,36.83,-4.85,30.325,33.243,-5.7,26.5,29.656,conodont,apatite,Ordovician,Dapingian,,,,USA,Nevada,38.527619,-114.94802,Edwards_2022,Edwards_2022
469.71,SP-2674.3,753.77,15.2,-2.15491708,39.30287314,41.66224992,-1,44.5,46.536,-1.5,42.25,44.426,-2,40,42.316,-4,31,33.876,-4.85,27.175,30.289,-5.7,23.35,26.702,conodont,apatite,Ordovician,Dapingian,,,,USA,Nevada,38.527619,-114.94802,Edwards_2022,Edwards_2022
471.29,SP-2404.1,677.27,14.2,-2.159967649,43.78014558,45.86093652,-1,49,50.756,-1.5,46.75,48.646,-2,44.5,46.536,-4,35.5,38.096,-4.85,31.675,34.509,-5.7,27.85,30.922,conodont,apatite,Ordovician,Floian,,,,USA,Nevada,38.527619,-114.94802,Edwards_2022,Edwards_2022
471.29,SP-2404.2,677.27,12,-2.159967649,53.68014558,55.14493652,-1,58.9,60.04,-1.5,56.65,57.93,-2,54.4,55.82,-4,45.4,47.38,-4.85,41.575,43.793,-5.7,37.75,40.206,conodont,apatite,Ordovician,Floian,,,,USA,Nevada,38.527619,-114.94802,Edwards_2022,Edwards_2022
471.29,SP-2404.3,677.27,16.3,-2.159967649,34.33014558,36.99893652,-1,39.55,41.894,-1.5,37.3,39.784,-2,35.05,37.674,-4,26.05,29.234,-4.85,22.225,25.647,-5.7,18.4,22.06,conodont,apatite,Ordovician,Floian,,,,USA,Nevada,38.527619,-114.94802,Edwards_2022,Edwards_2022
471.29,SP-2404.4,677.27,15.8,-2.159967649,36.58014558,39.10893652,-1,41.8,44.004,-1.5,39.55,41.894,-2,37.3,39.784,-4,28.3,31.344,-4.85,24.475,27.757,-5.7,20.65,24.17,conodont,apatite,Ordovician,Floian,,,,USA,Nevada,38.527619,-114.94802,Edwards_2022,Edwards_2022
472.46,SP-2198,618.89,13.7,-2.163707627,46.01331568,47.95515382,-1,51.25,52.866,-1.5,49,50.756,-2,46.75,48.646,-4,37.75,40.206,-4.85,33.925,36.619,-5.7,30.1,33.032,conodont,apatite,Ordovician,Floian,,,,USA,Nevada,38.527619,-114.94802,Edwards_2022,Edwards_2022
474.47,SP-1896.1,533.32,14.1,-2.170132717,44.18440277,46.24003993,-1,49.45,51.178,-1.5,47.2,49.068,-2,44.95,46.958,-4,35.95,38.518,-4.85,32.125,34.931,-5.7,28.3,31.344,conodont,apatite,Ordovician,Floian,,,,USA,Nevada,38.527619,-114.94802,Edwards_2022,Edwards_2022
474.47,SP-1896.2,533.32,15,-2.170132717,40.13440277,42.44203993,-1,45.4,47.38,-1.5,43.15,45.27,-2,40.9,43.16,-4,31.9,34.72,-4.85,28.075,31.133,-5.7,24.25,27.546,conodont,apatite,Ordovician,Floian,,,,USA,Nevada,38.527619,-114.94802,Edwards_2022,Edwards_2022
